         839067144 function calls (636176786 primitive calls) in 320.454 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      126    0.000    0.000    0.004    0.000 internals.py:3784(_consolidate_check)
      126    0.000    0.000    0.004    0.000 internals.py:3785(<listcomp>)
      126    0.000    0.000    0.000    0.000 internals.py:4101(_consolidate_inplace)
      126    0.001    0.000    0.199    0.002 internals.py:4869(create_block_manager_from_arrays)
      126    0.023    0.000    0.185    0.001 internals.py:4880(form_blocks)
      177    0.000    0.000    0.039    0.000 internals.py:4972(_simple_blockify)
       32    0.001    0.000    0.013    0.000 internals.py:4986(_multi_blockify)
     4120    0.000    0.000    0.000    0.000 internals.py:4990(<lambda>)
      209    0.012    0.000    0.042    0.000 internals.py:5017(_stack_arrays)
    16380    0.008    0.000    0.029    0.000 internals.py:5020(_asarray_compat)
      209    0.000    0.000    0.000    0.000 internals.py:5026(_shape_compat)
    20736    0.054    0.000    3.995    0.000 linestring.py:117(parallel_offset)
    31266    0.012    0.000    0.012    0.000 model.py:98(lat_lon)
    10368    0.134    0.000    0.241    0.000 multilinestring.py:111(geos_multilinestring_from_py)
    10368    0.028    0.000    0.282    0.000 multilinestring.py:31(__init__)
    10368    0.100    0.000    0.311    0.000 multipoint.py:155(geos_multipoint_from_py)
    10368    0.030    0.000    0.357    0.000 multipoint.py:33(__init__)
    16506    0.004    0.000    0.009    0.000 numeric.py:469(asarray)
      209    0.001    0.000    0.003    0.000 numeric.py:676(require)
      209    0.000    0.000    0.000    0.000 numeric.py:748(<setcomp>)
      670    0.001    0.000    0.001    0.000 numerictypes.py:293(issubclass_)
      335    0.001    0.000    0.001    0.000 numerictypes.py:365(issubdtype)
    10530    0.021    0.000    0.135    0.000 point.py:127(_set_coords)
    31266    0.242    0.000    0.267    0.000 point.py:191(geos_point_from_py)
    10530    0.016    0.000    0.152    0.000 point.py:37(__init__)
    51840    0.038    0.000    0.044    0.000 polygon.py:129(__init__)
    51840    0.032    0.000    0.095    0.000 polygon.py:134(__iter__)
    51840    0.042    0.000    0.042    0.000 polygon.py:139(__next__)
   103680    0.108    0.000    0.108    0.000 polygon.py:150(__len__)
    51840    0.074    0.000    0.492    0.000 polygon.py:218(__init__)
    62208    0.140    0.000    0.424    0.000 polygon.py:246(exterior)
    51840    0.046    0.000    0.309    0.000 polygon.py:260(interiors)
    72576    0.057    0.000    0.419    0.000 polygon.py:31(__init__)
    51840    0.234    0.000    0.357    0.000 polygon.py:485(geos_polygon_from_py)
    51840    0.064    0.000    0.362    0.000 polygon.py:66(_set_coords)
 25427110   68.093    0.000  157.216    0.000 predicates.py:11(__call__)
   279936    0.460    0.000    0.667    0.000 predicates.py:23(__call__)
      126    0.000    0.000    0.001    0.000 range.py:131(_simple_new)
      126    0.000    0.000    0.000    0.000 range.py:158(_validate_dtype)
    16758    0.011    0.000    0.018    0.000 range.py:481(__len__)
      126    0.000    0.000    0.002    0.000 range.py:68(__new__)
      252    0.000    0.000    0.000    0.000 range.py:84(_ensure_int)
    16380    0.063    0.000    0.779    0.000 series.py:4019(_sanitize_array)
     4120    0.006    0.000    0.127    0.000 series.py:4036(_try_cast)
       27    0.012    0.000  365.427   13.534 sklearn.py:28(journeys)
       27    0.007    0.000   16.538    0.613 sklearn.py:31(<dictcomp>)
    33545    0.018    0.000    0.018    0.000 sklearn.py:38(<lambda>)
       27    0.068    0.003  119.181    4.414 sklearn.py:42(<listcomp>)
    33545    0.077    0.000    3.825    0.000 sklearn.py:44(<dictcomp>)
    79205    0.031    0.000    0.031    0.000 sklearn.py:45(<setcomp>)
   159558    0.029    0.000    0.029    0.000 sklearn.py:46(<lambda>)
 51310412   20.482    0.000   79.632    0.000 topology.py:16(_validate)
    41472    0.111    0.000    0.148    0.000 topology.py:54(__call__)
    20655    3.618    0.000    3.715    0.000 topology.py:63(__call__)
    93474    0.862    0.000    4.506    0.000 topology.py:76(__call__)
        6    0.000    0.000    0.000    0.000 typing.py:110(_type_check)
       27    0.000    0.000    0.000    0.000 typing.py:1413(NewType)
    94176    0.009    0.000    0.009    0.000 typing.py:1432(new_type)
        4    0.000    0.000    0.000    0.000 typing.py:162(_collect_type_vars)
        3    0.000    0.000    0.000    0.000 typing.py:173(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:177(_subs_tvars)
        3    0.000    0.000    0.000    0.000 typing.py:196(_check_generic)
     5590    0.002    0.000    0.002    0.000 typing.py:245(inner)
        3    0.000    0.000    0.000    0.000 typing.py:314(__eq__)
       29    0.000    0.000    0.000    0.000 typing.py:587(_is_dunder)
        4    0.000    0.000    0.000    0.000 typing.py:600(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:610(<genexpr>)
        2    0.000    0.000    0.000    0.000 typing.py:618(__getitem__)
        4    0.000    0.000    0.000    0.000 typing.py:626(<genexpr>)
