         1396267159 function calls (991483016 primitive calls) in 845.893 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      126    0.010    0.000    1.195    0.009 frame.py:426(_init_dict)
      126    0.001    0.000    0.001    0.000 frame.py:457(<listcomp>)
      126    0.001    0.000    1.161    0.009 frame.py:7349(_arrays_to_mgr)
      126    0.019    0.000    0.054    0.000 frame.py:7367(extract_index)
      126    0.025    0.000    0.888    0.007 frame.py:7644(_homogenize)
      126    0.000    0.000    0.000    0.000 generic.py:124(__init__)
   132763    0.041    0.000    0.057    0.000 generic.py:7(_check)
 26094718    4.291    0.000    4.291    0.000 geos.py:545(errcheck_predicate)
    41472    7.575    0.000    7.575    0.000 geos.py:802(parallel_offset)
 26177662    5.599    0.000    5.599    0.000 impl.py:56(__getitem__)
      126    0.000    0.000    0.000    0.000 inference.py:119(is_iterator)
    32886    0.016    0.000    0.058    0.000 inference.py:251(is_list_like)
      204    0.001    0.000    0.006    0.000 internals.py:116(__init__)
      204    0.000    0.000    0.000    0.000 internals.py:127(_check_ndim)
       78    0.000    0.000    0.002    0.000 internals.py:2298(__init__)
      612    0.000    0.000    0.000    0.000 internals.py:233(mgr_locs)
      204    0.001    0.000    0.005    0.000 internals.py:237(mgr_locs)
       91    0.000    0.000    0.004    0.000 internals.py:2632(__init__)
       91    0.000    0.000    0.000    0.000 internals.py:2637(_maybe_coerce_values)
    16584    0.025    0.000    0.101    0.000 internals.py:3148(get_block_type)
      204    0.001    0.000    0.010    0.000 internals.py:3191(make_block)
      126    0.001    0.000    0.015    0.000 internals.py:3265(__init__)
      126    0.000    0.000    0.000    0.000 internals.py:3266(<listcomp>)
      378    0.001    0.000    0.002    0.000 internals.py:3307(shape)
     1134    0.000    0.000    0.001    0.000 internals.py:3309(<genexpr>)
      204    0.000    0.000    0.000    0.000 internals.py:3311(ndim)
      126    0.002    0.000    0.007    0.000 internals.py:3363(_rebuild_blknos_and_blklocs)
      126    0.000    0.000    0.000    0.000 internals.py:3384(_get_items)
      204    0.000    0.000    0.000    0.000 internals.py:348(shape)
      126    0.001    0.000    0.002    0.000 internals.py:3488(_verify_integrity)
      330    0.000    0.000    0.000    0.000 internals.py:3490(<genexpr>)
      204    0.000    0.000    0.000    0.000 internals.py:352(dtype)
      204    0.000    0.000    0.005    0.000 internals.py:356(ftype)
      126    0.000    0.000    0.000    0.000 internals.py:3776(is_consolidated)
      126    0.000    0.000    0.005    0.000 internals.py:3784(_consolidate_check)
      126    0.000    0.000    0.005    0.000 internals.py:3785(<listcomp>)
      126    0.000    0.000    0.000    0.000 internals.py:4101(_consolidate_inplace)
      126    0.001    0.000    0.218    0.002 internals.py:4869(create_block_manager_from_arrays)
      126    0.026    0.000    0.202    0.002 internals.py:4880(form_blocks)
      169    0.001    0.000    0.044    0.000 internals.py:4972(_simple_blockify)
       35    0.001    0.000    0.017    0.000 internals.py:4986(_multi_blockify)
     4536    0.001    0.000    0.001    0.000 internals.py:4990(<lambda>)
      204    0.015    0.000    0.048    0.000 internals.py:5017(_stack_arrays)
    16380    0.009    0.000    0.032    0.000 internals.py:5020(_asarray_compat)
      204    0.000    0.000    0.000    0.000 internals.py:5026(_shape_compat)
    41472    0.123    0.000    8.502    0.000 linestring.py:117(parallel_offset)
    62532    0.027    0.000    0.027    0.000 model.py:98(lat_lon)
    20736    0.297    0.000    0.528    0.000 multilinestring.py:111(geos_multilinestring_from_py)
    20736    0.067    0.000    0.625    0.000 multilinestring.py:31(__init__)
    20736    0.221    0.000    0.676    0.000 multipoint.py:155(geos_multipoint_from_py)
    20736    0.071    0.000    0.785    0.000 multipoint.py:33(__init__)
    16506    0.004    0.000    0.010    0.000 numeric.py:469(asarray)
      204    0.001    0.000    0.004    0.000 numeric.py:676(require)
      204    0.000    0.000    0.000    0.000 numeric.py:748(<setcomp>)
      660    0.001    0.000    0.001    0.000 numerictypes.py:293(issubclass_)
      330    0.001    0.000    0.002    0.000 numerictypes.py:365(issubdtype)
 25327648   39.152    0.000  242.506    0.000 point.py:127(_set_coords)
 25369120  152.653    0.000  168.216    0.000 point.py:191(geos_point_from_py)
