         1546132249 function calls (1546130498 primitive calls) in 1236.332 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      404    0.000    0.000    0.000    0.000 internals.py:127(_check_ndim)
      152    0.000    0.000    0.003    0.000 internals.py:2298(__init__)
     1212    0.000    0.000    0.000    0.000 internals.py:233(mgr_locs)
      404    0.002    0.000    0.009    0.000 internals.py:237(mgr_locs)
      185    0.001    0.000    0.007    0.000 internals.py:2632(__init__)
      185    0.000    0.000    0.000    0.000 internals.py:2637(_maybe_coerce_values)
    32618    0.051    0.000    0.198    0.000 internals.py:3148(get_block_type)
      404    0.001    0.000    0.019    0.000 internals.py:3191(make_block)
      252    0.001    0.000    0.028    0.000 internals.py:3265(__init__)
      252    0.000    0.000    0.001    0.000 internals.py:3266(<listcomp>)
      756    0.002    0.000    0.004    0.000 internals.py:3307(shape)
     2268    0.001    0.000    0.003    0.000 internals.py:3309(<genexpr>)
      404    0.000    0.000    0.000    0.000 internals.py:3311(ndim)
      252    0.004    0.000    0.012    0.000 internals.py:3363(_rebuild_blknos_and_blklocs)
      252    0.000    0.000    0.000    0.000 internals.py:3384(_get_items)
      404    0.000    0.000    0.000    0.000 internals.py:348(shape)
      252    0.001    0.000    0.004    0.000 internals.py:3488(_verify_integrity)
      656    0.000    0.000    0.001    0.000 internals.py:3490(<genexpr>)
      404    0.000    0.000    0.000    0.000 internals.py:352(dtype)
      404    0.000    0.000    0.008    0.000 internals.py:356(ftype)
      252    0.000    0.000    0.000    0.000 internals.py:3776(is_consolidated)
      252    0.001    0.000    0.009    0.000 internals.py:3784(_consolidate_check)
      252    0.000    0.000    0.009    0.000 internals.py:3785(<listcomp>)
      252    0.000    0.000    0.000    0.000 internals.py:4101(_consolidate_inplace)
      252    0.002    0.000    0.423    0.002 internals.py:4869(create_block_manager_from_arrays)
      252    0.050    0.000    0.393    0.002 internals.py:4880(form_blocks)
      337    0.001    0.000    0.087    0.000 internals.py:4972(_simple_blockify)
       67    0.002    0.000    0.031    0.000 internals.py:4986(_multi_blockify)
     8500    0.001    0.000    0.001    0.000 internals.py:4990(<lambda>)
      404    0.029    0.000    0.096    0.000 internals.py:5017(_stack_arrays)
    32214    0.018    0.000    0.065    0.000 internals.py:5020(_asarray_compat)
      404    0.000    0.000    0.001    0.000 internals.py:5026(_shape_compat)
    40770    0.118    0.000    8.199    0.000 linestring.py:117(parallel_offset)
    61479    0.024    0.000    0.024    0.000 model.py:98(lat_lon)
    20385    0.283    0.000    0.505    0.000 multilinestring.py:111(geos_multilinestring_from_py)
    20385    0.062    0.000    0.596    0.000 multilinestring.py:31(__init__)
    20385    0.208    0.000    0.643    0.000 multipoint.py:155(geos_multipoint_from_py)
    20385    0.067    0.000    0.746    0.000 multipoint.py:33(__init__)
    32466    0.008    0.000    0.020    0.000 numeric.py:469(asarray)
      404    0.002    0.000    0.007    0.000 numeric.py:676(require)
      404    0.001    0.000    0.001    0.000 numeric.py:748(<setcomp>)
     1312    0.001    0.000    0.002    0.000 numerictypes.py:293(issubclass_)
      656    0.001    0.000    0.003    0.000 numerictypes.py:365(issubdtype)
 49905096   78.194    0.000  483.967    0.000 point.py:127(_set_coords)
 49945866  304.629    0.000  337.069    0.000 point.py:191(geos_point_from_py)
 49905096   44.232    0.000  534.025    0.000 point.py:37(__init__)
   101925    0.079    0.000    0.091    0.000 polygon.py:129(__init__)
   101925    0.063    0.000    0.198    0.000 polygon.py:134(__iter__)
   101925    0.088    0.000    0.088    0.000 polygon.py:139(__next__)
   203850    0.235    0.000    0.235    0.000 polygon.py:150(__len__)
   101925    0.157    0.000    1.030    0.000 polygon.py:218(__init__)
   122310    0.305    0.000    0.878    0.000 polygon.py:246(exterior)
   101925    0.098    0.000    0.650    0.000 polygon.py:260(interiors)
   142695    0.116    0.000    0.869    0.000 polygon.py:31(__init__)
   101925    0.484    0.000    0.746    0.000 polygon.py:485(geos_polygon_from_py)
   101925    0.134    0.000    0.754    0.000 polygon.py:66(_set_coords)
 49884387  167.617    0.000  383.748    0.000 predicates.py:11(__call__)
   550395    1.009    0.000    1.430    0.000 predicates.py:23(__call__)
      252    0.001    0.000    0.002    0.000 range.py:131(_simple_new)
      252    0.000    0.000    0.000    0.000 range.py:158(_validate_dtype)
    32970    0.023    0.000    0.039    0.000 range.py:481(__len__)
      252    0.001    0.000    0.004    0.000 range.py:68(__new__)
      504    0.000    0.000    0.001    0.000 range.py:84(_ensure_int)
    32214    0.137    0.000    1.713    0.000 series.py:4019(_sanitize_array)
     8500    0.014    0.000    0.295    0.000 series.py:4036(_try_cast)
       27    0.032    0.001 1236.315   45.789 sklearn.py:27(journeys)
       27    0.015    0.001   34.448    1.276 sklearn.py:31(<dictcomp>)
    33457    0.019    0.000    0.019    0.000 sklearn.py:37(<lambda>)
    33457    0.108    0.000    0.228    0.000 sklearn.py:40(<dictcomp>)
   313406    0.042    0.000    0.042    0.000 sklearn.py:40(<lambda>)
       27    0.058    0.002    8.800    0.326 sklearn.py:40(<listcomp>)
   155642    0.060    0.000    0.060    0.000 sklearn.py:40(<setcomp>)
100665768   47.329    0.000  195.496    0.000 topology.py:16(_validate)
    81540    0.237    0.000    0.315    0.000 topology.py:54(__call__)
    40635    7.355    0.000    7.561    0.000 topology.py:63(__call__)
   183789    1.773    0.000    9.219    0.000 topology.py:76(__call__)
        6    0.000    0.000    0.000    0.000 typing.py:110(_type_check)
       27    0.000    0.000    0.000    0.000 typing.py:1413(NewType)
   194390    0.019    0.000    0.019    0.000 typing.py:1432(new_type)
        4    0.000    0.000    0.000    0.000 typing.py:162(_collect_type_vars)
        3    0.000    0.000    0.000    0.000 typing.py:173(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:177(_subs_tvars)
        3    0.000    0.000    0.000    0.000 typing.py:196(_check_generic)
    14436    0.004    0.000    0.005    0.000 typing.py:245(inner)
        3    0.000    0.000    0.000    0.000 typing.py:314(__eq__)
       29    0.000    0.000    0.000    0.000 typing.py:587(_is_dunder)
        4    0.000    0.000    0.000    0.000 typing.py:600(__init__)
       10    0.000    0.000    0.000    0.000 typing.py:610(<genexpr>)
